,ds,y
57,2017-05-01 04:45:00,7.9
58,2017-05-01 04:50:00,7.8
59,2017-05-01 04:55:00,7.7
60,2017-05-01 05:00:00,7.7
61,2017-05-01 05:05:00,7.6
62,2017-05-01 05:10:00,7.5
63,2017-05-01 05:15:00,7.4
64,2017-05-01 05:20:00,7.4
65,2017-05-01 05:25:00,7.4
66,2017-05-01 05:30:00,7.3
67,2017-05-01 05:35:00,7.3
68,2017-05-01 05:40:00,7.0
69,2017-05-01 05:45:00,7.0
70,2017-05-01 05:50:00,7.0
71,2017-05-01 05:55:00,6.9
72,2017-05-01 06:00:00,7.0
73,2017-05-01 06:05:00,7.0
74,2017-05-01 06:10:00,6.8
75,2017-05-01 06:15:00,6.8
76,2017-05-01 06:20:00,6.7
77,2017-05-01 06:25:00,6.7
78,2017-05-01 06:30:00,6.7
79,2017-05-01 06:35:00,6.7
80,2017-05-01 06:40:00,6.6
81,2017-05-01 06:45:00,6.4
82,2017-05-01 06:50:00,6.2
83,2017-05-01 06:55:00,6.1
84,2017-05-01 07:00:00,6.0
85,2017-05-01 07:05:00,5.9
86,2017-05-01 07:10:00,5.7
87,2017-05-01 07:15:00,5.5
88,2017-05-01 07:20:00,5.4
89,2017-05-01 07:25:00,5.3
90,2017-05-01 07:30:00,5.2
91,2017-05-01 07:35:00,5.1
92,2017-05-01 07:40:00,5.0
93,2017-05-01 07:45:00,5.0
94,2017-05-01 07:50:00,4.9
95,2017-05-01 07:55:00,4.9
96,2017-05-01 08:00:00,4.8
97,2017-05-01 08:05:00,4.7
98,2017-05-01 08:10:00,4.8
99,2017-05-01 08:15:00,4.8
100,2017-05-01 08:20:00,4.8
101,2017-05-01 08:25:00,4.7
102,2017-05-01 08:30:00,4.6
103,2017-05-01 08:35:00,4.6
104,2017-05-01 08:40:00,4.6
105,2017-05-01 08:45:00,4.6
106,2017-05-01 08:50:00,4.6
107,2017-05-01 08:55:00,4.4
108,2017-05-01 09:00:00,4.3
109,2017-05-01 09:05:00,4.3
110,2017-05-01 09:10:00,4.2
111,2017-05-01 09:15:00,4.1
112,2017-05-01 09:20:00,4.0
113,2017-05-01 09:25:00,4.0
114,2017-05-01 09:30:00,4.1
115,2017-05-01 09:35:00,3.9
116,2017-05-01 09:40:00,3.8
117,2017-05-01 09:45:00,3.8
118,2017-05-01 09:50:00,3.9
119,2017-05-01 09:55:00,3.9
120,2017-05-01 10:00:00,3.8
121,2017-05-01 10:05:00,3.9
122,2017-05-01 10:10:00,3.9
123,2017-05-01 10:15:00,3.8
124,2017-05-01 10:20:00,3.6
125,2017-05-01 10:25:00,3.6
126,2017-05-01 10:30:00,3.5
127,2017-05-01 10:35:00,3.4
128,2017-05-01 10:40:00,3.3
129,2017-05-01 10:45:00,3.2
130,2017-05-01 10:50:00,3.3
131,2017-05-01 10:55:00,3.4
132,2017-05-01 11:00:00,3.3
133,2017-05-01 11:05:00,3.3
134,2017-05-01 11:10:00,3.4
135,2017-05-01 11:15:00,3.5
136,2017-05-01 11:20:00,3.4
137,2017-05-01 11:25:00,3.3
138,2017-05-01 11:30:00,3.3
139,2017-05-01 11:35:00,3.5
140,2017-05-01 11:40:00,3.6
141,2017-05-01 11:45:00,3.4
142,2017-05-01 11:50:00,3.4
143,2017-05-01 11:55:00,3.4
144,2017-05-01 12:00:00,3.7
145,2017-05-01 12:05:00,3.8
146,2017-05-01 12:10:00,3.9
147,2017-05-01 12:15:00,3.9
148,2017-05-01 12:20:00,3.8
149,2017-05-01 12:25:00,3.7
150,2017-05-01 12:30:00,3.7
151,2017-05-01 12:35:00,3.8
152,2017-05-01 12:40:00,3.7
153,2017-05-01 12:45:00,3.6
154,2017-05-01 12:50:00,3.6
155,2017-05-01 12:55:00,3.6
156,2017-05-01 13:00:00,3.5
157,2017-05-01 13:05:00,3.5
158,2017-05-01 13:10:00,3.7
159,2017-05-01 13:15:00,3.6
160,2017-05-01 13:20:00,3.6
161,2017-05-01 13:25:00,3.8
162,2017-05-01 13:30:00,3.9
163,2017-05-01 13:35:00,4.0
164,2017-05-01 13:40:00,3.9
165,2017-05-01 13:45:00,4.0
166,2017-05-01 13:50:00,4.0
167,2017-05-01 13:55:00,4.0
168,2017-05-01 14:00:00,4.2
169,2017-05-01 14:05:00,4.2
170,2017-05-01 14:10:00,4.3
171,2017-05-01 14:15:00,4.3
172,2017-05-01 14:20:00,4.2
173,2017-05-01 14:25:00,4.4
174,2017-05-01 14:30:00,4.5
175,2017-05-01 14:35:00,4.7
176,2017-05-01 14:40:00,4.8
177,2017-05-01 14:45:00,5.0
178,2017-05-01 14:50:00,5.1
179,2017-05-01 14:55:00,5.3
180,2017-05-01 15:00:00,5.6
181,2017-05-01 15:05:00,6.0
182,2017-05-01 15:10:00,6.4
183,2017-05-01 15:15:00,6.6
184,2017-05-01 15:20:00,7.1
185,2017-05-01 15:25:00,7.8
186,2017-05-01 15:30:00,8.2
187,2017-05-01 15:35:00,8.6
188,2017-05-01 15:40:00,9.5
189,2017-05-01 15:45:00,9.9
190,2017-05-01 15:50:00,10.7
191,2017-05-01 15:55:00,11.2
192,2017-05-01 16:00:00,12.1
193,2017-05-01 16:05:00,12.8
194,2017-05-01 16:10:00,13.6
195,2017-05-01 16:15:00,14.2
196,2017-05-01 16:20:00,15.0
197,2017-05-01 16:25:00,15.7
198,2017-05-01 16:30:00,16.4
199,2017-05-01 16:35:00,16.9
200,2017-05-01 16:40:00,17.5
201,2017-05-01 16:45:00,18.3
202,2017-05-01 16:50:00,18.7
203,2017-05-01 16:55:00,19.7
204,2017-05-01 17:00:00,20.5
205,2017-05-01 17:05:00,21.2
206,2017-05-01 17:10:00,21.6
207,2017-05-01 17:15:00,22.1
208,2017-05-01 17:20:00,22.9
209,2017-05-01 17:25:00,24.1
210,2017-05-01 17:30:00,24.6
211,2017-05-01 17:35:00,25.1
212,2017-05-01 17:40:00,25.2
213,2017-05-01 17:45:00,26.0
214,2017-05-01 17:50:00,26.1
215,2017-05-01 17:55:00,26.7
216,2017-05-01 18:00:00,27.5
217,2017-05-01 18:05:00,28.3
218,2017-05-01 18:10:00,29.0
219,2017-05-01 18:15:00,29.4
220,2017-05-01 18:20:00,29.9
221,2017-05-01 18:25:00,30.7
222,2017-05-01 18:30:00,31.1
223,2017-05-01 18:35:00,31.5
224,2017-05-01 18:40:00,32.3
225,2017-05-01 18:45:00,32.4
226,2017-05-01 18:50:00,32.4
227,2017-05-01 18:55:00,33.1
228,2017-05-01 19:00:00,33.7
229,2017-05-01 19:05:00,33.8
230,2017-05-01 19:10:00,33.7
231,2017-05-01 19:15:00,34.2
232,2017-05-01 19:20:00,34.4
233,2017-05-01 19:25:00,34.8
234,2017-05-01 19:30:00,35.2
235,2017-05-01 19:35:00,35.3
236,2017-05-01 19:40:00,35.2
237,2017-05-01 19:45:00,35.7
238,2017-05-01 19:50:00,36.0
239,2017-05-01 19:55:00,36.3
240,2017-05-01 20:00:00,36.5
241,2017-05-01 20:05:00,36.4
242,2017-05-01 20:10:00,36.0
243,2017-05-01 20:15:00,36.3
244,2017-05-01 20:20:00,37.1
245,2017-05-01 20:25:00,37.0
246,2017-05-01 20:30:00,36.2
247,2017-05-01 20:35:00,37.0
248,2017-05-01 20:40:00,37.3
249,2017-05-01 20:45:00,38.0
250,2017-05-01 20:50:00,37.1
251,2017-05-01 20:55:00,36.9
252,2017-05-01 21:00:00,37.4
253,2017-05-01 21:05:00,37.8
254,2017-05-01 21:10:00,38.2
255,2017-05-01 21:15:00,37.5
256,2017-05-01 21:20:00,37.6
257,2017-05-01 21:25:00,37.8
258,2017-05-01 21:30:00,37.9
259,2017-05-01 21:35:00,37.5
260,2017-05-01 21:40:00,36.6
261,2017-05-01 21:45:00,36.4
262,2017-05-01 21:50:00,37.0
263,2017-05-01 21:55:00,36.8
264,2017-05-01 22:00:00,36.9
265,2017-05-01 22:05:00,36.5
266,2017-05-01 22:10:00,36.2
267,2017-05-01 22:15:00,35.8
268,2017-05-01 22:20:00,35.4
269,2017-05-01 22:25:00,35.2
270,2017-05-01 22:30:00,35.8
271,2017-05-01 22:35:00,35.6
272,2017-05-01 22:40:00,35.5
273,2017-05-01 22:45:00,35.6
274,2017-05-01 22:50:00,34.8
275,2017-05-01 22:55:00,34.5
276,2017-05-01 23:00:00,34.2
277,2017-05-01 23:05:00,34.0
278,2017-05-01 23:10:00,33.5
279,2017-05-01 23:15:00,33.3
280,2017-05-01 23:20:00,32.6
281,2017-05-01 23:25:00,32.2
282,2017-05-01 23:30:00,32.2
283,2017-05-01 23:35:00,31.3
284,2017-05-01 23:40:00,31.2
285,2017-05-01 23:45:00,30.5
286,2017-05-01 23:50:00,30.7
287,2017-05-01 23:55:00,30.1
288,2017-05-02 00:00:00,29.4
289,2017-05-02 00:05:00,28.9
290,2017-05-02 00:10:00,29.3
291,2017-05-02 00:15:00,29.1
292,2017-05-02 00:20:00,28.3
293,2017-05-02 00:25:00,27.5
294,2017-05-02 00:30:00,27.2
295,2017-05-02 00:35:00,26.5
296,2017-05-02 00:40:00,25.6
297,2017-05-02 00:45:00,25.3
298,2017-05-02 00:50:00,24.6
299,2017-05-02 00:55:00,23.4
300,2017-05-02 01:00:00,23.0
301,2017-05-02 01:05:00,22.5
302,2017-05-02 01:10:00,21.7
303,2017-05-02 01:15:00,20.7
304,2017-05-02 01:20:00,19.9
305,2017-05-02 01:25:00,19.1
306,2017-05-02 01:30:00,18.0
307,2017-05-02 01:35:00,17.4
308,2017-05-02 01:40:00,17.1
309,2017-05-02 01:45:00,16.8
310,2017-05-02 01:50:00,16.4
311,2017-05-02 01:55:00,15.8
312,2017-05-02 02:00:00,15.4
313,2017-05-02 02:05:00,15.1
314,2017-05-02 02:10:00,14.9
315,2017-05-02 02:15:00,14.5
316,2017-05-02 02:20:00,14.2
317,2017-05-02 02:25:00,13.8
318,2017-05-02 02:30:00,13.7
319,2017-05-02 02:35:00,13.3
320,2017-05-02 02:40:00,13.0
321,2017-05-02 02:45:00,12.7
322,2017-05-02 02:50:00,12.5
323,2017-05-02 02:55:00,12.3
324,2017-05-02 03:00:00,12.1
325,2017-05-02 03:05:00,12.0
326,2017-05-02 03:10:00,11.8
327,2017-05-02 03:15:00,11.7
328,2017-05-02 03:20:00,11.5
329,2017-05-02 03:25:00,11.4
330,2017-05-02 03:30:00,11.2
331,2017-05-02 03:35:00,11.1
332,2017-05-02 03:40:00,11.1
333,2017-05-02 03:45:00,11.0
334,2017-05-02 03:50:00,10.9
335,2017-05-02 03:55:00,10.8
336,2017-05-02 04:00:00,10.7
337,2017-05-02 04:05:00,10.6
338,2017-05-02 04:10:00,10.4
339,2017-05-02 04:15:00,10.4
340,2017-05-02 04:20:00,10.4
341,2017-05-02 04:25:00,10.3
342,2017-05-02 04:30:00,10.1
343,2017-05-02 04:35:00,9.9
344,2017-05-02 04:40:00,9.8
345,2017-05-02 04:45:00,9.7
346,2017-05-02 04:50:00,9.6
347,2017-05-02 04:55:00,9.6
348,2017-05-02 05:00:00,9.6
349,2017-05-02 05:05:00,9.5
350,2017-05-02 05:10:00,9.5
351,2017-05-02 05:15:00,9.3
352,2017-05-02 05:20:00,9.2
353,2017-05-02 05:25:00,9.2
354,2017-05-02 05:30:00,9.1
355,2017-05-02 05:35:00,9.1
356,2017-05-02 05:40:00,8.8
357,2017-05-02 05:45:00,8.6
358,2017-05-02 05:50:00,8.5
359,2017-05-02 05:55:00,8.6
360,2017-05-02 06:00:00,8.4
361,2017-05-02 06:05:00,8.4
362,2017-05-02 06:10:00,8.5
363,2017-05-02 06:15:00,8.4
364,2017-05-02 06:20:00,8.3
365,2017-05-02 06:25:00,8.0
366,2017-05-02 06:30:00,7.9
367,2017-05-02 06:35:00,7.7
368,2017-05-02 06:40:00,7.4
369,2017-05-02 06:45:00,7.3
370,2017-05-02 06:50:00,7.1
371,2017-05-02 06:55:00,7.0
372,2017-05-02 07:00:00,7.0
373,2017-05-02 07:05:00,7.0
374,2017-05-02 07:10:00,6.9
375,2017-05-02 07:15:00,6.9
376,2017-05-02 07:20:00,6.9
377,2017-05-02 07:25:00,7.0
378,2017-05-02 07:30:00,6.8
379,2017-05-02 07:35:00,6.7
380,2017-05-02 07:40:00,6.5
381,2017-05-02 07:45:00,6.5
382,2017-05-02 07:50:00,6.5
383,2017-05-02 07:55:00,6.5
384,2017-05-02 08:00:00,6.4
385,2017-05-02 08:05:00,6.3
386,2017-05-02 08:10:00,6.1
387,2017-05-02 08:15:00,6.1
388,2017-05-02 08:20:00,6.3
389,2017-05-02 08:25:00,6.3
390,2017-05-02 08:30:00,6.1
391,2017-05-02 08:35:00,6.2
392,2017-05-02 08:40:00,6.1
393,2017-05-02 08:45:00,5.9
394,2017-05-02 08:50:00,5.9
395,2017-05-02 08:55:00,6.0
396,2017-05-02 09:00:00,5.9
397,2017-05-02 09:05:00,5.9
398,2017-05-02 09:10:00,6.1
399,2017-05-02 09:15:00,6.2
400,2017-05-02 09:20:00,6.2
401,2017-05-02 09:25:00,6.2
402,2017-05-02 09:30:00,6.2
403,2017-05-02 09:35:00,6.2
404,2017-05-02 09:40:00,6.2
405,2017-05-02 09:45:00,6.1
406,2017-05-02 09:50:00,6.1
407,2017-05-02 09:55:00,6.0
408,2017-05-02 10:00:00,6.0
409,2017-05-02 10:05:00,6.1
410,2017-05-02 10:10:00,6.1
411,2017-05-02 10:15:00,6.2
412,2017-05-02 10:20:00,6.3
413,2017-05-02 10:25:00,6.2
414,2017-05-02 10:30:00,6.3
415,2017-05-02 10:35:00,6.3
416,2017-05-02 10:40:00,6.2
417,2017-05-02 10:45:00,6.1
418,2017-05-02 10:50:00,6.1
419,2017-05-02 10:55:00,6.1
420,2017-05-02 11:00:00,6.1
421,2017-05-02 11:05:00,6.1
422,2017-05-02 11:10:00,5.9
423,2017-05-02 11:15:00,6.0
424,2017-05-02 11:20:00,6.1
425,2017-05-02 11:25:00,6.1
426,2017-05-02 11:30:00,6.0
427,2017-05-02 11:35:00,5.9
428,2017-05-02 11:40:00,5.8
429,2017-05-02 11:45:00,5.7
430,2017-05-02 11:50:00,5.8
431,2017-05-02 11:55:00,5.7
432,2017-05-02 12:00:00,5.7
433,2017-05-02 12:05:00,5.8
434,2017-05-02 12:10:00,5.7
435,2017-05-02 12:15:00,5.7
436,2017-05-02 12:20:00,5.7
437,2017-05-02 12:25:00,5.6
438,2017-05-02 12:30:00,5.6
439,2017-05-02 12:35:00,5.4
440,2017-05-02 12:40:00,5.3
441,2017-05-02 12:45:00,5.2
442,2017-05-02 12:50:00,5.1
443,2017-05-02 12:55:00,5.1
444,2017-05-02 13:00:00,5.0
445,2017-05-02 13:05:00,5.0
446,2017-05-02 13:10:00,4.9
447,2017-05-02 13:15:00,4.8
448,2017-05-02 13:20:00,4.9
449,2017-05-02 13:25:00,5.0
450,2017-05-02 13:30:00,5.1
451,2017-05-02 13:35:00,5.0
452,2017-05-02 13:40:00,5.1
453,2017-05-02 13:45:00,5.2
454,2017-05-02 13:50:00,5.3
455,2017-05-02 13:55:00,5.4
456,2017-05-02 14:00:00,5.5
457,2017-05-02 14:05:00,5.5
458,2017-05-02 14:10:00,5.7
459,2017-05-02 14:15:00,5.7
460,2017-05-02 14:20:00,5.8
461,2017-05-02 14:25:00,5.9
462,2017-05-02 14:30:00,6.1
463,2017-05-02 14:35:00,6.2
464,2017-05-02 14:40:00,6.4
465,2017-05-02 14:45:00,6.5
466,2017-05-02 14:50:00,6.8
467,2017-05-02 14:55:00,7.0
468,2017-05-02 15:00:00,7.4
469,2017-05-02 15:05:00,7.6
470,2017-05-02 15:10:00,8.0
471,2017-05-02 15:15:00,8.3
472,2017-05-02 15:20:00,8.8
473,2017-05-02 15:25:00,9.3
474,2017-05-02 15:30:00,9.7
475,2017-05-02 15:35:00,10.6
476,2017-05-02 15:40:00,11.0
477,2017-05-02 15:45:00,11.6
478,2017-05-02 15:50:00,12.2
479,2017-05-02 15:55:00,12.8
480,2017-05-02 16:00:00,13.5
481,2017-05-02 16:05:00,14.1
482,2017-05-02 16:10:00,14.8
483,2017-05-02 16:15:00,15.9
484,2017-05-02 16:20:00,16.6
485,2017-05-02 16:25:00,16.9
486,2017-05-02 16:30:00,17.6
487,2017-05-02 16:35:00,18.7
488,2017-05-02 16:40:00,18.8
489,2017-05-02 16:45:00,19.5
490,2017-05-02 16:50:00,20.0
491,2017-05-02 16:55:00,20.5
492,2017-05-02 17:00:00,21.8
493,2017-05-02 17:05:00,22.2
494,2017-05-02 17:10:00,22.9
495,2017-05-02 17:15:00,23.6
496,2017-05-02 17:20:00,24.6
497,2017-05-02 17:25:00,25.2
498,2017-05-02 17:30:00,25.5
499,2017-05-02 17:35:00,26.3
500,2017-05-02 17:40:00,26.9
501,2017-05-02 17:45:00,27.7
502,2017-05-02 17:50:00,28.5
503,2017-05-02 17:55:00,28.7
504,2017-05-02 18:00:00,29.3
505,2017-05-02 18:05:00,29.8
506,2017-05-02 18:10:00,30.2
507,2017-05-02 18:15:00,30.8
508,2017-05-02 18:20:00,31.3
509,2017-05-02 18:25:00,32.1
510,2017-05-02 18:30:00,32.5
511,2017-05-02 18:35:00,33.4
512,2017-05-02 18:40:00,33.4
513,2017-05-02 18:45:00,33.4
514,2017-05-02 18:50:00,34.2
515,2017-05-02 18:55:00,34.4
516,2017-05-02 19:00:00,34.7
517,2017-05-02 19:05:00,35.6
518,2017-05-02 19:10:00,35.4
519,2017-05-02 19:15:00,35.9
520,2017-05-02 19:20:00,36.0
521,2017-05-02 19:25:00,36.3
522,2017-05-02 19:30:00,37.0
523,2017-05-02 19:35:00,36.6
524,2017-05-02 19:40:00,37.6
525,2017-05-02 19:45:00,37.4
526,2017-05-02 19:50:00,37.6
527,2017-05-02 19:55:00,38.2
528,2017-05-02 20:00:00,38.1
529,2017-05-02 20:05:00,38.4
530,2017-05-02 20:10:00,38.7
531,2017-05-02 20:15:00,39.2
532,2017-05-02 20:20:00,38.9
533,2017-05-02 20:25:00,39.0
534,2017-05-02 20:30:00,39.0
535,2017-05-02 20:35:00,39.1
536,2017-05-02 20:40:00,38.6
537,2017-05-02 20:45:00,39.0
538,2017-05-02 20:50:00,39.5
539,2017-05-02 20:55:00,39.7
540,2017-05-02 21:00:00,39.8
541,2017-05-02 21:05:00,39.6
542,2017-05-02 21:10:00,39.3
543,2017-05-02 21:15:00,39.0
544,2017-05-02 21:20:00,39.5
545,2017-05-02 21:25:00,39.3
546,2017-05-02 21:30:00,39.2
547,2017-05-02 21:35:00,38.5
548,2017-05-02 21:40:00,38.4
549,2017-05-02 21:45:00,39.1
550,2017-05-02 21:50:00,38.9
551,2017-05-02 21:55:00,38.6
552,2017-05-02 22:00:00,38.3
553,2017-05-02 22:05:00,38.8
554,2017-05-02 22:10:00,38.4
555,2017-05-02 22:15:00,37.8
556,2017-05-02 22:20:00,38.4
557,2017-05-02 22:25:00,37.7
558,2017-05-02 22:30:00,38.2
559,2017-05-02 22:35:00,37.4
560,2017-05-02 22:40:00,35.8
561,2017-05-02 22:45:00,34.6
562,2017-05-02 22:50:00,35.6
563,2017-05-02 22:55:00,36.6
564,2017-05-02 23:00:00,35.8
565,2017-05-02 23:05:00,35.6
566,2017-05-02 23:10:00,35.6
567,2017-05-02 23:15:00,35.1
568,2017-05-02 23:20:00,34.9
569,2017-05-02 23:25:00,34.5
570,2017-05-02 23:30:00,33.7
571,2017-05-02 23:35:00,33.2
572,2017-05-02 23:40:00,33.2
573,2017-05-02 23:45:00,32.3
574,2017-05-02 23:50:00,31.6
575,2017-05-02 23:55:00,31.6
576,2017-05-03 00:00:00,31.3
577,2017-05-03 00:05:00,31.0
578,2017-05-03 00:10:00,30.0
579,2017-05-03 00:15:00,30.3
580,2017-05-03 00:20:00,29.8
581,2017-05-03 00:25:00,29.0
582,2017-05-03 00:30:00,28.8
583,2017-05-03 00:35:00,27.6
584,2017-05-03 00:40:00,27.1
585,2017-05-03 00:45:00,27.0
586,2017-05-03 00:50:00,26.0
587,2017-05-03 00:55:00,25.6
588,2017-05-03 01:00:00,24.5
589,2017-05-03 01:05:00,23.3
590,2017-05-03 01:10:00,22.4
591,2017-05-03 01:15:00,21.7
592,2017-05-03 01:20:00,21.2
593,2017-05-03 01:25:00,20.4
594,2017-05-03 01:30:00,19.8
595,2017-05-03 01:35:00,19.4
596,2017-05-03 01:40:00,18.7
597,2017-05-03 01:45:00,18.3
598,2017-05-03 01:50:00,17.7
599,2017-05-03 01:55:00,17.2
600,2017-05-03 02:00:00,16.8
601,2017-05-03 02:05:00,16.5
602,2017-05-03 02:10:00,16.3
603,2017-05-03 02:15:00,15.9
604,2017-05-03 02:20:00,15.7
605,2017-05-03 02:25:00,15.4
606,2017-05-03 02:30:00,15.2
607,2017-05-03 02:35:00,14.9
608,2017-05-03 02:40:00,14.5
609,2017-05-03 02:45:00,14.3
610,2017-05-03 02:50:00,14.0
611,2017-05-03 02:55:00,13.8
612,2017-05-03 03:00:00,13.5
613,2017-05-03 03:05:00,13.4
614,2017-05-03 03:10:00,13.3
615,2017-05-03 03:15:00,13.1
616,2017-05-03 03:20:00,13.0
617,2017-05-03 03:25:00,12.7
618,2017-05-03 03:30:00,12.6
619,2017-05-03 03:35:00,12.6
620,2017-05-03 03:40:00,12.5
621,2017-05-03 03:45:00,12.4
622,2017-05-03 03:50:00,12.3
623,2017-05-03 03:55:00,12.2
624,2017-05-03 04:00:00,12.2
625,2017-05-03 04:05:00,12.1
626,2017-05-03 04:10:00,12.1
627,2017-05-03 04:15:00,11.9
628,2017-05-03 04:20:00,11.9
629,2017-05-03 04:25:00,11.9
630,2017-05-03 04:30:00,11.8
631,2017-05-03 04:35:00,11.7
632,2017-05-03 04:40:00,11.7
633,2017-05-03 04:45:00,11.6
634,2017-05-03 04:50:00,11.5
635,2017-05-03 04:55:00,11.5
636,2017-05-03 05:00:00,11.4
637,2017-05-03 05:05:00,11.2
638,2017-05-03 05:10:00,11.2
639,2017-05-03 05:15:00,11.1
640,2017-05-03 05:20:00,11.1
641,2017-05-03 05:25:00,11.1
642,2017-05-03 05:30:00,11.0
643,2017-05-03 05:35:00,10.9
644,2017-05-03 05:40:00,10.9
645,2017-05-03 05:45:00,10.7
646,2017-05-03 05:50:00,10.6
647,2017-05-03 05:55:00,10.4
648,2017-05-03 06:00:00,10.4
649,2017-05-03 06:05:00,10.2
650,2017-05-03 06:10:00,10.1
651,2017-05-03 06:15:00,10.0
652,2017-05-03 06:20:00,9.9
653,2017-05-03 06:25:00,9.9
654,2017-05-03 06:30:00,9.9
655,2017-05-03 06:35:00,9.7
656,2017-05-03 06:40:00,9.6
657,2017-05-03 06:45:00,9.5
658,2017-05-03 06:50:00,9.2
659,2017-05-03 06:55:00,9.2
660,2017-05-03 07:00:00,9.2
661,2017-05-03 07:05:00,9.0
662,2017-05-03 07:10:00,8.9
663,2017-05-03 07:15:00,8.8
664,2017-05-03 07:20:00,8.9
665,2017-05-03 07:25:00,9.0
666,2017-05-03 07:30:00,9.0
667,2017-05-03 07:35:00,8.9
668,2017-05-03 07:40:00,8.9
669,2017-05-03 07:45:00,8.7
670,2017-05-03 07:50:00,8.6
671,2017-05-03 07:55:00,8.6
672,2017-05-03 08:00:00,8.7
673,2017-05-03 08:05:00,8.8
674,2017-05-03 08:10:00,8.8
675,2017-05-03 08:15:00,8.8
676,2017-05-03 08:20:00,9.0
677,2017-05-03 08:25:00,8.9
678,2017-05-03 08:30:00,8.9
679,2017-05-03 08:35:00,9.0
680,2017-05-03 08:40:00,9.0
681,2017-05-03 08:45:00,9.0
682,2017-05-03 08:50:00,8.9
683,2017-05-03 08:55:00,8.8
684,2017-05-03 09:00:00,8.6
685,2017-05-03 09:05:00,8.6
686,2017-05-03 09:10:00,8.4
687,2017-05-03 09:15:00,8.5
688,2017-05-03 09:20:00,8.5
689,2017-05-03 09:25:00,8.5
690,2017-05-03 09:30:00,8.4
691,2017-05-03 09:35:00,8.4
692,2017-05-03 09:40:00,8.3
693,2017-05-03 09:45:00,8.3
694,2017-05-03 09:50:00,8.3
695,2017-05-03 09:55:00,8.3
696,2017-05-03 10:00:00,8.2
697,2017-05-03 10:05:00,8.0
698,2017-05-03 10:10:00,7.9
699,2017-05-03 10:15:00,7.9
700,2017-05-03 10:20:00,7.9
701,2017-05-03 10:25:00,7.8
702,2017-05-03 10:30:00,7.7
703,2017-05-03 10:35:00,7.6
704,2017-05-03 10:40:00,7.4
705,2017-05-03 10:45:00,7.2
706,2017-05-03 10:50:00,7.1
707,2017-05-03 10:55:00,7.0
708,2017-05-03 11:00:00,7.0
709,2017-05-03 11:05:00,6.9
710,2017-05-03 11:10:00,6.8
711,2017-05-03 11:15:00,6.7
712,2017-05-03 11:20:00,6.7
713,2017-05-03 11:25:00,6.6
714,2017-05-03 11:30:00,6.6
715,2017-05-03 11:35:00,6.5
716,2017-05-03 11:40:00,6.4
717,2017-05-03 11:45:00,6.4
718,2017-05-03 11:50:00,6.3
719,2017-05-03 11:55:00,6.3
720,2017-05-03 12:00:00,6.3
721,2017-05-03 12:05:00,6.2
722,2017-05-03 12:10:00,6.3
723,2017-05-03 12:15:00,6.4
724,2017-05-03 12:20:00,6.4
725,2017-05-03 12:25:00,6.5
726,2017-05-03 12:30:00,6.6
727,2017-05-03 12:35:00,6.6
728,2017-05-03 12:40:00,6.6
729,2017-05-03 12:45:00,6.4
730,2017-05-03 12:50:00,6.2
731,2017-05-03 12:55:00,6.2
732,2017-05-03 13:00:00,6.1
733,2017-05-03 13:05:00,6.1
734,2017-05-03 13:10:00,6.1
735,2017-05-03 13:15:00,6.1
